"SE","start","end","cases","Rt","p1","lwr","upr"
200952,"2009-12-27","2010-01-02",5,NA,NA,NA,NA
201001,"2010-01-03","2010-01-09",20,NA,NA,NA,NA
201002,"2010-01-10","2010-01-16",24,NA,NA,NA,NA
201003,"2010-01-17","2010-01-23",23,1.36734693877551,0.953592039508905,0.919330525643938,1.90564400604477
201004,"2010-01-24","2010-01-30",34,1.2089552238806,0.875937137123104,0.855799455277714,1.62698107474787
201005,"2010-01-31","2010-02-06",38,1.17283950617284,0.855053738112397,0.856134612210543,1.54315284984877
201006,"2010-02-07","2010-02-13",33,1.10526315789474,0.760754399508726,0.824166399710776,1.4316067927841
201007,"2010-02-14","2010-02-20",47,1.12380952380952,0.808511067440962,0.851574344198907,1.43725873141322
201008,"2010-02-21","2010-02-27",50,1.10169491525424,0.777397334915936,0.847614975795511,1.39236594512916
201009,"2010-02-28","2010-03-06",57,1.18461538461538,0.923222479955181,0.927097439378164,1.47603866106667
201010,"2010-03-07","2010-03-13",45,0.987012987012987,0.454425225012944,0.780815294266012,1.22065517323506
201011,"2010-03-14","2010-03-20",47,0.980263157894737,0.431263546347733,0.773923526136242,1.21435869577278
201012,"2010-03-21","2010-03-27",70,1.08724832214765,0.76982151710709,0.861379982204821,1.34213112839094
201013,"2010-03-28","2010-04-03",45,1,0.5,0.79651140635536,1.22967775548238
201014,"2010-04-04","2010-04-10",41,0.962962962962963,0.368090623919065,0.765360407410439,1.18652802569147
201015,"2010-04-11","2010-04-17",50,0.871794871794872,0.120489100864387,0.685562492954656,1.0843944255536
201016,"2010-04-18","2010-04-24",57,1.08823529411765,0.762145713451409,0.852482437336184,1.35573096658891
201017,"2010-04-25","2010-05-01",83,1.28378378378378,0.988997846388486,1.02506404358197,1.5730208754372
201018,"2010-05-02","2010-05-08",94,1.23157894736842,0.983857566335436,1.00888027423539,1.47787392935928
201019,"2010-05-09","2010-05-15",61,1.01709401709402,0.573102576865639,0.843420757224965,1.20905682999328
201020,"2010-05-16","2010-05-22",71,0.949579831932773,0.288552692535879,0.786192739677992,1.13066684527069
201021,"2010-05-23","2010-05-29",62,0.858407079646018,0.0589379871548574,0.703434985803023,1.03160357413647
201022,"2010-05-30","2010-06-05",57,0.979381443298969,0.419040909397813,0.795249914832514,1.18533104084116
201023,"2010-06-06","2010-06-12",32,0.794736842105263,0.017135023266647,0.636246182518232,0.974528695079997
201024,"2010-06-13","2010-06-19",62,1,0.5,0.789789264920246,1.23827662532453
201025,"2010-06-20","2010-06-26",41,0.894039735099338,0.171633794345859,0.701304720223674,1.11414727781474
201026,"2010-06-27","2010-07-03",51,1.14074074074074,0.868572057190618,0.89517199438812,1.41866484635601
201027,"2010-07-04","2010-07-10",64,1.01298701298701,0.54528026685795,0.802566534262563,1.25101878195314
201028,"2010-07-11","2010-07-17",54,1.08333333333333,0.764893498789869,0.862842065229038,1.33153371669036
201029,"2010-07-18","2010-07-24",49,0.988165680473373,0.456504203561171,0.790468093033568,1.21091393244434
201030,"2010-07-25","2010-07-31",88,1.1437125748503,0.898028171512042,0.920723135213828,1.39297285089141
201031,"2010-08-01","2010-08-07",84,1.15706806282723,0.930583081557201,0.945688775844337,1.39153248061831
201032,"2010-08-08","2010-08-14",73,1.10859728506787,0.867150179205401,0.917764263168083,1.31919919296217
201033,"2010-08-15","2010-08-21",49,0.840816326530612,0.0329363195211705,0.693911460455642,1.0044731794046
201034,"2010-08-22","2010-08-28",53,0.849514563106796,0.0558273070542168,0.688970930862458,1.02998903482545
201035,"2010-08-29","2010-09-04",35,0.782857142857143,0.0155069038448032,0.620087025223065,0.968663677011135
201036,"2010-09-05","2010-09-11",35,0.897810218978102,0.192191716587086,0.695625927918122,1.13014374518791
201037,"2010-09-12","2010-09-18",45,0.934959349593496,0.30169861849219,0.715806123661982,1.18792346551026
201038,"2010-09-19","2010-09-25",31,0.965217391304348,0.394898475133456,0.733578529700052,1.23322653890735
201039,"2010-09-26","2010-10-02",26,0.918918918918919,0.268297318531123,0.692378356864762,1.18270722029894
201040,"2010-10-03","2010-10-09",27,0.823529411764706,0.0927794524622881,0.607302310006254,1.07931287065447
201041,"2010-10-10","2010-10-16",29,0.976190476190476,0.438165341948014,0.707014281736037,1.29490012638389
201042,"2010-10-17","2010-10-23",28,1.02439024390244,0.561834658051986,0.741739624740384,1.35830334742827
201043,"2010-10-24","2010-10-30",34,1.08333333333333,0.702111771296322,0.790973904074694,1.42643629774337
201044,"2010-10-31","2010-11-06",44,1.16483516483516,0.85802611950181,0.86591855730072,1.51155664514658
201045,"2010-11-07","2010-11-13",50,1.20754716981132,0.925323758897397,0.920403745232321,1.53628893841035
201046,"2010-11-14","2010-11-20",54,1.15625,0.886131765622362,0.901865035582315,1.44484212295438
201047,"2010-11-21","2010-11-27",75,1.20945945945946,0.957082303419641,0.962853690688845,1.48608712181291
201048,"2010-11-28","2010-12-04",102,1.29050279329609,0.994976254057638,1.0527402003288,1.55361732402786
201049,"2010-12-05","2010-12-11",112,1.25108225108225,0.994585482612939,1.04537799700264,1.47632919660887
201050,"2010-12-12","2010-12-18",143,1.23529411764706,0.996314927693168,1.05217348452342,1.43401757416576
201051,"2010-12-19","2010-12-25",120,1.05042016806723,0.747202284491415,0.904637058598807,1.20833039463533
201052,"2010-12-26","2011-01-01",139,1.072,0.83378653078455,0.927332288544625,1.22827524209525
201101,"2011-01-02","2011-01-08",205,1.15422885572139,0.982517510591149,1.00597383642251,1.31352526181266
201102,"2011-01-09","2011-01-15",269,1.32112068965517,0.999997308769224,1.16710975287901,1.48507363458767
201103,"2011-01-16","2011-01-22",269,1.21207177814029,0.999795430727953,1.0863343145519,1.34516338126027
201104,"2011-01-23","2011-01-29",461,1.34454912516824,0.999999999603227,1.22018967083724,1.47516402058551
201105,"2011-01-30","2011-02-05",740,1.47147147147147,1,1.35573792959855,1.59199301885636
201106,"2011-02-06","2011-02-12",1112,1.5734693877551,1,1.47234360268298,1.67792388594441
201107,"2011-02-13","2011-02-19",1432,1.41980112408128,1,1.34532221105167,1.49632841020456
201108,"2011-02-20","2011-02-26",1521,1.2378197320341,1,1.1816069192182,1.29541838483158
201109,"2011-02-27","2011-03-05",1393,1.06912669126691,0.998909438421865,1.02395336392912,1.11537675906548
201110,"2011-03-06","2011-03-12",1509,1.01771744132536,0.794551666621538,0.975620012261693,1.06080976832557
201111,"2011-03-13","2011-03-19",2520,1.22586479764865,1,1.17770780983748,1.27504816727696
201112,"2011-03-20","2011-03-26",3912,1.46458871265216,1,1.4144696127126,1.51559084498137
201113,"2011-03-27","2011-04-02",4299,1.35134114091424,1,1.31243453429852,1.39083597718011
201114,"2011-04-03","2011-04-09",5172,1.24713447022645,1,1.21567632225448,1.27901787377705
201115,"2011-04-10","2011-04-16",4405,1.03683777927221,0.998587392325679,1.01238083379124,1.06161941704399
201116,"2011-04-17","2011-04-23",3679,0.955318535601038,8.35309364639603e-05,0.932733042601859,0.978211088626716
201117,"2011-04-24","2011-04-30",3978,0.90992757996379,3.06421554796543e-14,0.887646332932372,0.932526691585886
201118,"2011-05-01","2011-05-07",3200,0.900099485989057,8.88178419700125e-16,0.87693688846803,0.923610561133133
201119,"2011-05-08","2011-05-14",2831,0.921893709127752,2.16011097897706e-09,0.897052346423578,0.947124301451651
201120,"2011-05-15","2011-05-21",2263,0.828654211209911,0,0.804746364699219,0.852974588404577
201121,"2011-05-22","2011-05-28",1644,0.812394502049674,0,0.786530663134536,0.838754115456856
201122,"2011-05-29","2011-06-04",1460,0.796527159394479,0,0.768271532921138,0.825390567760688
201123,"2011-06-05","2011-06-11",919,0.74958077138066,0,0.71932397833274,0.780591467297986
201124,"2011-06-12","2011-06-18",687,0.762117822520507,0,0.72681899391338,0.798425512370629
201125,"2011-06-19","2011-06-25",430,0.664057403783431,0,0.627501348103785,0.701903857123562
201126,"2011-06-26","2011-07-02",357,0.723968565815324,0,0.67644472603574,0.773465403169126
201127,"2011-07-03","2011-07-09",254,0.706241519674355,0,0.651583669077063,0.763611108295626
201128,"2011-07-10","2011-07-16",213,0.791546589817483,2.43145638734177e-07,0.721220586051865,0.865794496941412
201129,"2011-07-17","2011-07-23",162,0.763349514563107,1.48872196792382e-07,0.686661901396164,0.844953860481452
201130,"2011-07-24","2011-07-30",144,0.825119236883943,0.000576572523816488,0.732604550029972,0.92417044152342
201131,"2011-07-31","2011-08-06",111,0.803468208092486,0.000420735157593999,0.703994589697596,0.910814993238496
201132,"2011-08-07","2011-08-13",120,0.899280575539568,0.0676477398489118,0.779105404952329,1.02947884003386
201133,"2011-08-14","2011-08-20",124,0.946666666666667,0.229436964488368,0.815217511233372,1.08938311320745
201134,"2011-08-21","2011-08-27",92,0.946478873239437,0.234755228184615,0.811574997274614,1.09327997143668
201135,"2011-08-28","2011-09-03",82,0.886904761904762,0.0654427593676072,0.755112995911639,1.03108159581359
201136,"2011-09-04","2011-09-10",108,0.946308724832215,0.253062447818377,0.799743019597154,1.10702833876548
201137,"2011-09-11","2011-09-17",98,1.02127659574468,0.599285632971737,0.861729504290577,1.19604264873902
201138,"2011-09-18","2011-09-24",162,1.27777777777778,0.999124078658624,1.08934009927389,1.48202117099856
201139,"2011-09-25","2011-10-01",175,1.1820652173913,0.991033170077262,1.02447566224273,1.35178589682142
201140,"2011-10-02","2011-10-08",173,1.17241379310345,0.992699209937123,1.02789978266153,1.32717935434933
201141,"2011-10-09","2011-10-15",194,1.06274509803922,0.838195693432612,0.938743388609853,1.19527863084595
201142,"2011-10-16","2011-10-22",179,1.00738007380074,0.548278994327132,0.891821655408828,1.1308643312207
201143,"2011-10-23","2011-10-29",232,1.10805860805861,0.959076702607916,0.98411189538236,1.24006225197798
201144,"2011-10-30","2011-11-05",218,1.0396694214876,0.752842351483178,0.927385448559431,1.15911203908598
201145,"2011-11-06","2011-11-12",304,1.19872813990461,0.999616652800714,1.07562593219126,1.32897645803672
201146,"2011-11-13","2011-11-19",252,1.02652519893899,0.695601485947035,0.926564381435926,1.13221683713123
201147,"2011-11-20","2011-11-26",401,1.23643410852713,0.999994677936698,1.12236610430413,1.35636427423704
201148,"2011-11-27","2011-12-03",418,1.11912225705329,0.994339757969999,1.02395939989182,1.21890320505453
201149,"2011-12-04","2011-12-10",502,1.23342670401494,0.999999844944698,1.13623569204142,1.33485551847568
201150,"2011-12-11","2011-12-17",581,1.13626040878123,0.9996505961591,1.05398567579292,1.22189664676124
201151,"2011-12-18","2011-12-24",512,1.06262491672219,0.954460898862155,0.989229125476446,1.13892911336439
201152,"2011-12-25","2011-12-31",535,1.02068965517241,0.719500435995624,0.951604638164485,1.09248476919038
201201,"2012-01-01","2012-01-07",861,1.17199017199017,0.99999877189887,1.09591017145526,1.25082149976908
