YEAR	SE	CASES
1996	1	16
1996	2	24
1996	3	20
1996	4	18
1996	5	23
1996	6	37
1996	7	44
1996	8	53
1996	9	62
1996	10	110
1996	11	173
1996	12	247
1996	13	550
1996	14	245
1996	15	454
1996	16	411
1996	17	288
1996	18	189
1996	19	157
1996	20	154
1996	21	116
1996	22	94
1996	23	65
1996	24	55
1996	25	49
1996	26	27
1996	27	11
1996	28	21
1996	29	9
1996	30	3
1996	31	6
1996	32	4
1996	33	47
1996	34	4
1996	35	9
1996	36	11
1996	37	16
1996	38	3
1996	39	4
1996	40	6
1996	41	7
1996	42	2
1996	43	2
1996	44	4
1996	45	3
1996	46	8
1996	47	6
1996	48	31
1996	49	50
1996	50	38
1996	51	26
1996	52	7
1997	1	24
1997	2	17
1997	3	26
1997	4	13
1997	5	22
1997	6	23
1997	7	44
1997	8	65
1997	9	49
1997	10	22
1997	11	33
1997	12	56
1997	13	306
1997	14	29
1997	15	32
1997	16	17
1997	17	17
1997	18	12
1997	19	16
1997	20	7
1997	21	9
1997	22	10
1997	23	6
1997	24	7
1997	25	10
1997	26	12
1997	27	6
1997	28	3
1997	29	5
1997	30	2
1997	31	5
1997	32	6
1997	33	2
1997	34	4
1997	35	4
1997	36	3
1997	37	2
1997	38	1
1997	39	10
1997	40	5
1997	41	2
1997	42	3
1997	43	0
1997	44	6
1997	45	4
1997	46	8
1997	47	4
1997	48	2
1997	49	5
1997	50	7
1997	51	2
1997	52	12
1998	1	26
1998	2	30
1998	3	30
1998	4	32
1998	5	22
1998	6	34
1998	7	35
1998	8	48
1998	9	97
1998	10	193
1998	11	583
1998	12	1059
1998	13	4672
1998	14	1246
1998	15	1394
1998	16	1110
1998	17	760
1998	18	519
1998	19	434
1998	20	307
1998	21	180
1998	22	128
1998	23	60
1998	24	58
1998	25	35
1998	26	28
1998	27	18
1998	28	21
1998	29	13
1998	30	19
1998	31	12
1998	32	10
1998	33	11
1998	34	6
1998	35	8
1998	36	7
1998	37	7
1998	38	10
1998	39	8
1998	40	6
1998	41	5
1998	42	10
1998	43	4
1998	44	11
1998	45	9
1998	46	14
1998	47	10
1998	48	14
1998	49	14
1998	50	9
1998	51	14
1998	52	10
1999	1	35
1999	2	10
1999	3	14
1999	4	24
1999	5	26
1999	6	30
1999	7	49
1999	8	60
1999	9	67
1999	10	90
1999	11	165
1999	12	252
1999	13	930
1999	14	375
1999	15	378
1999	16	274
1999	17	242
1999	18	224
1999	19	149
1999	20	160
1999	21	79
1999	22	61
1999	23	50
1999	24	50
1999	25	21
1999	26	19
1999	27	29
1999	28	18
1999	29	18
1999	30	9
1999	31	13
1999	32	8
1999	33	11
1999	34	19
1999	35	6
1999	36	7
1999	37	8
1999	38	9
1999	39	9
1999	40	11
1999	41	10
1999	42	7
1999	43	4
1999	44	9
1999	45	7
1999	46	5
1999	47	12
1999	48	8
1999	49	7
1999	50	7
1999	51	6
1999	52	19
2000	1	16
2000	2	27
2000	3	37
2000	4	39
2000	5	33
2000	6	32
2000	7	36
2000	8	35
2000	9	28
2000	10	48
2000	11	49
2000	12	73
2000	13	96
2000	14	95
2000	15	100
2000	16	115
2000	17	160
2000	18	144
2000	19	174
2000	20	183
2000	21	137
2000	22	109
2000	23	78
2000	24	72
2000	25	47
2000	26	28
2000	27	29
2000	28	19
2000	29	19
2000	30	18
2000	31	6
2000	32	8
2000	33	9
2000	34	9
2000	35	7
2000	36	5
2000	37	3
2000	38	10
2000	39	5
2000	40	2
2000	41	5
2000	42	3
2000	43	12
2000	44	7
2000	45	6
2000	46	5
2000	47	7
2000	48	7
2000	49	9
2000	50	12
2000	51	11
2000	52	7
2001	1	18
2001	2	51
2001	3	71
2001	4	200
2001	5	316
2001	6	375
2001	7	305
2001	8	201
2001	9	302
2001	10	371
2001	11	383
2001	12	519
2001	13	783
2001	14	1176
2001	15	1124
2001	16	1568
2001	17	2123
2001	18	2508
2001	19	2170
