SE,start,end,cases
1,1996-01-08,1996-01-14,16
2,1996-01-15,1996-01-21,24
3,1996-01-22,1996-01-28,20
4,1996-01-29,1996-02-04,18
5,1996-02-05,1996-02-11,23
6,1996-02-12,1996-02-18,37
7,1996-02-19,1996-02-25,44
8,1996-02-26,1996-03-03,53
9,1996-03-04,1996-03-10,62
10,1996-03-11,1996-03-17,110
11,1996-03-18,1996-03-24,173
12,1996-03-25,1996-03-31,247
13,1996-04-01,1996-04-07,550
14,1996-04-08,1996-04-14,245
15,1996-04-15,1996-04-21,454
16,1996-04-22,1996-04-28,411
17,1996-04-29,1996-05-05,288
18,1996-05-06,1996-05-12,189
19,1996-05-13,1996-05-19,157
20,1996-05-20,1996-05-26,154
21,1996-05-27,1996-06-02,116
22,1996-06-03,1996-06-09,94
23,1996-06-10,1996-06-16,65
24,1996-06-17,1996-06-23,55
25,1996-06-24,1996-06-30,49
26,1996-07-01,1996-07-07,27
27,1996-07-08,1996-07-14,11
28,1996-07-15,1996-07-21,21
29,1996-07-22,1996-07-28,9
30,1996-07-29,1996-08-04,3
31,1996-08-05,1996-08-11,6
32,1996-08-12,1996-08-18,4
33,1996-08-19,1996-08-25,47
34,1996-08-26,1996-09-01,4
35,1996-09-02,1996-09-08,9
36,1996-09-09,1996-09-15,11
37,1996-09-16,1996-09-22,16
38,1996-09-23,1996-09-29,3
39,1996-09-30,1996-10-06,4
40,1996-10-07,1996-10-13,6
41,1996-10-14,1996-10-20,7
42,1996-10-21,1996-10-27,2
43,1996-10-28,1996-11-03,2
44,1996-11-04,1996-11-10,4
45,1996-11-11,1996-11-17,3
46,1996-11-18,1996-11-24,8
47,1996-11-25,1996-12-01,6
48,1996-12-02,1996-12-08,31
49,1996-12-09,1996-12-15,50
50,1996-12-16,1996-12-22,38
51,1996-12-23,1996-12-29,26
52,1996-12-30,1997-01-05,7
1,1997-01-06,1997-01-12,24
2,1997-01-13,1997-01-19,17
3,1997-01-20,1997-01-26,26
4,1997-01-27,1997-02-02,13
5,1997-02-03,1997-02-09,22
6,1997-02-10,1997-02-16,23
7,1997-02-17,1997-02-23,44
8,1997-02-24,1997-03-02,65
9,1997-03-03,1997-03-09,49
10,1997-03-10,1997-03-16,22
11,1997-03-17,1997-03-23,33
12,1997-03-24,1997-03-30,56
13,1997-03-31,1997-04-06,306
14,1997-04-07,1997-04-13,29
15,1997-04-14,1997-04-20,32
16,1997-04-21,1997-04-27,17
17,1997-04-28,1997-05-04,17
18,1997-05-05,1997-05-11,12
19,1997-05-12,1997-05-18,16
20,1997-05-19,1997-05-25,7
21,1997-05-26,1997-06-01,9
22,1997-06-02,1997-06-08,10
23,1997-06-09,1997-06-15,6
24,1997-06-16,1997-06-22,7
25,1997-06-23,1997-06-29,10
26,1997-06-30,1997-07-06,12
27,1997-07-07,1997-07-13,6
28,1997-07-14,1997-07-20,3
29,1997-07-21,1997-07-27,5
30,1997-07-28,1997-08-03,2
31,1997-08-04,1997-08-10,5
32,1997-08-11,1997-08-17,6
33,1997-08-18,1997-08-24,2
34,1997-08-25,1997-08-31,4
35,1997-09-01,1997-09-07,4
36,1997-09-08,1997-09-14,3
37,1997-09-15,1997-09-21,2
38,1997-09-22,1997-09-28,1
39,1997-09-29,1997-10-05,10
40,1997-10-06,1997-10-12,5
41,1997-10-13,1997-10-19,2
42,1997-10-20,1997-10-26,3
43,1997-10-27,1997-11-02,0
44,1997-11-03,1997-11-09,6
45,1997-11-10,1997-11-16,4
46,1997-11-17,1997-11-23,8
47,1997-11-24,1997-11-30,4
48,1997-12-01,1997-12-07,2
49,1997-12-08,1997-12-14,5
50,1997-12-15,1997-12-21,7
51,1997-12-22,1997-12-28,2
52,1997-12-29,1998-01-04,12
1,1998-01-05,1998-01-11,26
2,1998-01-12,1998-01-18,30
3,1998-01-19,1998-01-25,30
4,1998-01-26,1998-02-01,32
5,1998-02-02,1998-02-08,22
6,1998-02-09,1998-02-15,34
7,1998-02-16,1998-02-22,35
8,1998-02-23,1998-03-01,48
9,1998-03-02,1998-03-08,97
10,1998-03-09,1998-03-15,193
11,1998-03-16,1998-03-22,583
12,1998-03-23,1998-03-29,1059
13,1998-03-30,1998-04-05,4672
