"SE","start","end","cases","Rt","Rt2","p1","lwr","upr"
1,"1996-01-08","1996-01-14",16,NA,NA,NA,NA,NA
2,"1996-01-15","1996-01-21",24,NA,NA,NA,NA,NA
3,"1996-01-22","1996-01-28",20,NA,NA,NA,NA,NA
4,"1996-01-29","1996-02-04",18,1.03333333333333,1.0213849287169,0.572089200394459,0.706770371897712,1.42932359424427
5,"1996-02-05","1996-02-11",23,0.983870967741935,0.973372781065089,0.463955399802771,0.674285821470088,1.36000051701839
6,"1996-02-12","1996-02-18",37,1.27868852459016,1.26152304609218,0.92620406791557,0.893381977830529,1.73601363179466
7,"1996-02-19","1996-02-25",44,1.33333333333333,1.31889763779528,0.973505555673278,0.975808200248087,1.74839609984289
8,"1996-02-26","1996-03-03",53,1.28846153846154,1.27817319098458,0.974449731674793,0.983212674765697,1.63683891656269
9,"1996-03-04","1996-03-10",62,1.1865671641791,1.17959372114497,0.928333337059555,0.932285597984871,1.4737764392153
10,"1996-03-11","1996-03-17",110,1.41509433962264,1.40724863600935,0.999637750696013,1.1442826383765,1.71516673684651
11,"1996-03-18","1996-03-24",173,1.53333333333333,1.52705687465489,0.99999977777888,1.28771496903609,1.80026874139821
12,"1996-03-25","1996-03-31",247,1.53623188405797,1.53211836881992,0.99999999983165,1.3355936058141,1.75084675960001
13,"1996-04-01","1996-04-07",550,1.83018867924528,1.82674664784757,1,1.64170132184813,2.02837001289547
14,"1996-04-08","1996-04-14",245,1.07422680412371,1.07341397503539,0.945826199010147,0.982633351402565,1.17032892330635
15,"1996-04-15","1996-04-21",454,1.19865642994242,1.19773571342997,0.999992492167517,1.10234067549732,1.29929321133595
16,"1996-04-22","1996-04-28",411,0.88871096877502,0.888283514945516,0.0020968524790923,0.818582889418847,0.962189302381893
17,"1996-04-29","1996-05-05",288,1.03873873873874,1.03807220785064,0.817030331266778,0.955153674252377,1.12623214355799
18,"1996-05-06","1996-05-12",189,0.770164787510841,0.769842988630211,2.11091810697894e-09,0.704573532472959,0.839278576204279
19,"1996-05-13","1996-05-19",157,0.713963963963964,0.713633169360506,3.33825189713366e-11,0.643515642030511,0.788918245884625
20,"1996-05-20","1996-05-26",154,0.788643533123028,0.78801888648436,3.36906040784291e-05,0.699516595888372,0.884196563736103
21,"1996-05-27","1996-06-02",116,0.854,0.853029169783097,0.00819848811960933,0.7480208300903,0.968253597854014
22,"1996-06-03","1996-06-09",94,0.852459016393443,0.851327691858769,0.0124679987828433,0.738329257866366,0.976266516572947
23,"1996-06-10","1996-06-16",65,0.755494505494505,0.754533014026685,0.000208696993011626,0.642958619150718,0.879101505863968
24,"1996-06-17","1996-06-23",55,0.778181818181818,0.776797829036635,0.00285066812271317,0.646882348494446,0.924190658657957
25,"1996-06-24","1996-06-30",49,0.789719626168224,0.787869994196169,0.0105953233781473,0.640453767604303,0.957898925807479
26,"1996-07-01","1996-07-07",27,0.775147928994083,0.772927366104182,0.0139050730116815,0.610969891228883,0.963124304467824
27,"1996-07-08","1996-07-14",11,0.66412213740458,0.662417374881964,0.00136712187353993,0.499863941833803,0.858135624568624
